#development stage,vegetative stage,,,,,,,
#age,21 (day),,,,,,,
#genotype,Col-0,,,,,,,
#organism part,whole organism,,,,,,,
#compound,,,t-zeatin,t-zeatin,none,none,t-zeatin,none
Gene ID,Gene Name,DesignElementAccession,NO.20-2,NO.19-2,NO.11,NO.10,NO.21-2,NO.12
AT1G03390,,264827_at,4.644893814,4.646464654,4.693228892,4.652445216,4.713082332,4.613437394
AT1G03400,,264843_at,7.777812105,7.82505464,9.193753323,9.165793294,7.819389776,9.447549383
AT1G03410,2A6,264826_at,5.480459243,5.42671154,5.884317874,5.809705815,5.544158756,5.773611066
AT1G03430,AHP5,264838_at,7.69641676,7.833088615,8.19389942,8.230202531,7.78945816,8.219917653
AT1G03440,,264840_at,7.431427051,7.209100069,7.690013689,7.792751682,7.395151368,7.696479387
AT1G03445,BSU1,264823_at,7.016901777,7.141683363,7.112530757,7.078617603,7.056964935,7.120825408
AT1G03457,,264822_at,5.640086134,5.634848691,6.186006797,6.222896751,5.711981197,6.409313984
AT1G03470,NET3A,264821_at,5.565036452,5.750682125,5.884719073,5.880277201,5.661455023,5.878601233
AT1G03475,CPX1,264820_at,9.473717824,9.652361905,9.643425145,9.796605871,9.510522968,9.63408855
AT1G03490,NAC006,264829_at,4.278224699,4.060709865,4.30311256,4.204867398,4.212526905,4.20590759
AT1G03510,PCMP-E3,264819_at,5.402284972,5.077530081,5.086317635,5.059659109,5.234733646,5.230125596
AT1G03520,,264844_at,7.100932194,7.12135621,7.361565102,7.277635981,7.124521935,7.441259776
AT1G03530,ATNAF1,264818_at,8.308027459,8.207118354,6.382999186,6.550320919,8.299177115,6.423808423
AT1G03540,PCMP-E4,264817_at,5.540427526,5.665745169,5.601789623,5.620342113,5.589042424,5.431089497
AT1G03550,SCAMP2,264835_at,6.264963149,6.482020795,6.376615306,6.63061027,6.361997263,6.258557822
AT1G03560,,264816_at,5.358804159,5.465205282,5.751784755,5.756215509,5.520952336,5.655023255
AT1G03590,PPC6-6,264833_at,7.965254166,8.014935699,8.274879823,8.30386642,7.943903667,8.191548817
AT1G03600,PSB27-1,264837_at,11.93658735,11.87685207,12.27062619,12.36072237,11.83966678,12.43579389
AT1G03610,,264836_at,8.327551854,8.508459585,10.0239616,9.97807192,8.400540786,9.99554735
AT1G03620,,264815_at,5.407587013,5.400053245,5.82609062,5.964992714,5.527480651,5.898490945
AT1G03630,PORC,264839_at,9.68555498,9.702551292,10.31503637,10.15396402,9.749888989,10.27970171
AT1G03660,,264832_at,6.063450908,6.35220624,6.618959663,6.828658472,6.277408401,6.693910109
AT1G03680,ATHM1,264845_at,11.62954113,11.54805308,11.92717491,11.94926919,11.61481151,11.94582653
AT1G03687,,264831_at,7.428609712,7.352932833,6.983417104,6.969549993,7.512717477,7.072784312
AT1G03700,,264842_at,5.493962752,5.620810853,5.609581059,5.669444168,5.441397485,5.548791334
AT1G03710,,264830_at,4.649841271,4.70700952,4.728166684,4.64291925,4.741423861,4.714276435
AT1G03720,,264825_at,5.693651911,5.78919041,5.843697049,5.758294947,5.769489236,5.847130737
AT1G03730,,264834_at,8.936731997,9.069647929,9.345415007,9.368858688,8.868890687,9.390900542
AT1G03740,,264841_at,7.580382907,7.577766021,8.297690608,8.449589556,7.47433791,8.211366568
AT1G03750,SWI2,265088_at,4.993227198,5.132670189,5.373785555,5.347413969,5.111830624,5.273237262
AT1G03760,,265087_at,7.240654747,7.067620833,6.607856293,6.791202663,7.066868847,6.692334612
AT1G03770,RING1B,265086_at,4.774114051,4.467829546,4.545785982,4.631718395,4.726311831,4.669154268
AT1G03780,TPX2,265085_at,5.876466304,5.906497211,6.329234009,6.126494724,6.003157197,6.30950929
AT1G03790,SOM,265084_at,5.707618572,5.670593193,5.964668921,6.140597275,5.685524437,5.756671444
AT1G03820,,265083_at,8.466279728,8.453828605,8.237915197,8.16770863,8.398612464,8.261144442
AT1G03830,,265082_at,5.876225834,5.837436539,5.418022501,5.462603317,5.779371958,5.415907338
AT1G03840,MGP,265081_at,5.214769217,5.184760082,5.33437321,5.477564646,5.106825847,5.294356605
AT1G03850,,265067_at,9.232656698,9.302006489,9.332991617,9.419487958,9.166196409,9.543383085
AT1G03860,PHB2,265037_at,10.56530331,10.71582694,9.969607962,10.02141656,10.57457422,10.12716661
AT1G03870,FLA9,265066_at,11.28243807,11.29129251,11.83074076,11.88086525,11.30990016,11.81143795
AT1G03880,CRB,265095_at,4.270502771,4.425573212,4.410376294,4.23125431,4.356268342,4.28858254
AT1G03890,CRD,265094_at,4.790172667,4.560539052,4.768224857,4.772955152,4.773686087,4.794818977
AT1G03900,ATNAP4,265043_at,10.85065666,10.94328857,10.60218153,10.6057675,10.71368823,10.59071239
AT1G03905,ABCI19,265093_at,5.151806731,5.150928054,5.513055773,5.326759681,5.301000718,5.353994947
AT1G03910,CTN,265092_at,9.23816197,9.273405928,8.921437714,8.99932931,9.176541543,8.813675286
AT1G03920,,265038_at,5.980502267,6.079651017,6.27121932,6.249356493,6.053056837,6.112348423
AT1G03950,VPS2.3,265044_at,7.832348845,7.843771861,8.073580519,8.049465499,7.736166826,8.321443474
AT1G03960,B''EPSILON,265090_at,5.672348413,5.782671199,5.694019059,5.600853818,5.787714997,5.552408105
